,Unnamed: 0,Generated,Reference,WuP,GloVe-Similarity,BLEU,ROUGE-1,ROUGE-2,ROUGE-L,CodeBERTScore,chrF
0,,Halve,Close-Container,0.2,0.026859529316425303,0.8594955539454142,0.8064516079032258,0.6885245851639346,0.8064516079032258,0.9572662711143494,0.8642741108240543
1,,Hold,Close-Container,0.3333333333333333,0.7839381098747253,0.7120262571347908,0.7073879854286156,0.5909613394947094,0.7073879854286156,0.952385628223419,0.7032731623563999
2,,Open-Container,Close-Container,0.3333333333333333,0.720828115940094,0.9861874720073877,0.9677419304838712,0.9426229458196722,0.9677419304838712,0.9875231385231018,0.9862722453087749
3,,Pick-Up,Close-Container,0.25,0.5153879523277283,0.9029063118896913,0.7973912993481501,0.672706861646448,0.7973912993481501,0.9559147000312805,0.8599548346911853
4,,Place-Down,Close-Container,0.25,0.7576097846031189,0.7288003461689889,0.7208121777567059,0.5811320705030972,0.7208121777567059,0.9618819952011108,0.8497517585658393
5,,Pour,Close-Container,0.25,0.2032543271780014,0.6618449271097706,0.7202902444735634,0.5812461452842562,0.7202902444735634,0.9599319696426392,0.9112857669274976
6,,Slice,Close-Container,0.2222222222222222,0.3808492720127105,0.8594955539454142,0.8064516079032258,0.6885245851639346,0.8064516079032258,0.9579421281814577,0.8641906808783915
7,,Wipe,Close-Container,0.25,0.3031244874000549,0.9112986672016798,0.8064516079032258,0.6885245851639346,0.8064516079032258,0.9557784199714658,0.8687476748757949
8,,Close-Container,Halve,0.2,0.026859529316425303,0.0083746411745154,0.3571428540295919,0.2358974335863248,0.3571428540295919,0.912427544593811,0.1786200180405981
9,,Hold,Halve,0.25,0.1863423734903335,5.356840758150736e-05,0.2575757551113407,0.1497326185810289,0.2575757551113407,0.8886452913284302,0.1000384577006854
10,,Open-Container,Halve,0.25,0.1374186724424362,0.0084273222615799,0.3571428540295919,0.2358974335863248,0.3571428540295919,0.912408173084259,0.1799495830841503
11,,Pick-Up,Halve,0.2,0.1682203710079193,5.356840758150736e-05,0.2575757551113407,0.1497326185810289,0.2575757551113407,0.8913524746894836,0.0993685620330728
12,,Place-Down,Halve,0.2,0.11310732364654538,0.8542656177822231,0.7181818131855372,0.6747720314779058,0.7181818131855372,0.9542042016983032,0.8589182921611626
13,,Pour,Halve,0.2,0.3157775104045868,0.7167729075192859,0.5258620639688616,0.4160990163840298,0.5258620639688616,0.9417388558387756,0.7954461517408907
14,,Slice,Halve,0.1818181818181818,0.3771482110023498,0.9451104636323592,0.8749999950003987,0.8427299653264535,0.8749999950003987,0.9842811822891238,0.9532210672428729
15,,Wipe,Halve,0.2,0.5097622871398926,0.0006072906369155,0.1884057941346356,0.1036269408274048,0.1884057941346356,0.8963831067085266,0.1040233549856481
16,,Close-Container,Hold,0.3333333333333333,0.7839381098747253,0.757493699983155,0.8383233483452258,0.75199999508192,0.8383233483452258,0.9629141092300417,0.8042690967398374
17,,Halve,Hold,0.25,0.1863423734903335,0.69886941782425,0.6746987902395123,0.5599999950819201,0.6746987902395123,0.9639741778373718,0.7405953710003245
18,,Open-Container,Hold,0.5,0.739703357219696,0.4886059133850531,0.41556983741770087,0.2555400986825468,0.4110500634064014,0.9332697033882141,0.5795817569331548
19,,Pick-Up,Hold,0.3333333333333333,0.6284888386726379,0.9908818959118836,0.9782608645652175,0.9750889629715938,0.9782608645652175,0.9498135447502136,0.9937871705839774
20,,Place-Down,Hold,0.3333333333333333,0.7480592727661133,0.9449096107338644,0.8664629797238834,0.8482269453546099,0.8664629797238834,0.9910924077033997,0.9469699193405454
21,,Pour,Hold,0.3333333333333333,0.3653004169464111,0.4725787104863758,0.3017498053613535,0.15641106023360568,0.3017498053613535,0.9226855635643005,0.5327630263006584
22,,Slice,Hold,0.2857142857142857,0.3697307407855987,0.6749165145127876,0.6428571379024943,0.5403225757391391,0.6428571379024943,0.9587191343307497,0.7171256787797953
23,,Wipe,Hold,0.3333333333333333,0.43972694873809803,0.8812655492058588,0.8324324274325786,0.7649866666262223,0.8324324274325786,0.9692104816436767,0.8986221125812289
24,,Close-Container,Open-Container,0.3333333333333333,0.720828115940094,0.9861492080677762,0.9677419304838712,0.9426229458196722,0.9677419304838712,0.98732990026474,0.9873486612400797
25,,Halve,Open-Container,0.25,0.1374186724424362,0.859126974786425,0.8064516079032258,0.6885245851639346,0.8064516079032258,0.9585163593292236,0.8643758461146316
26,,Hold,Open-Container,0.5,0.739703357219696,0.6665932752182963,0.653775371146886,0.5190947211064729,0.6441945328235328,0.9071265697479249,0.7081804354394267
27,,Pick-Up,Open-Container,0.3333333333333333,0.494068443775177,0.9113753155926366,0.8064516079032258,0.6885245851639346,0.8064516079032258,0.959640622138977,0.8691050164224384
28,,Place-Down,Open-Container,0.3333333333333333,0.8066946268081665,0.9054057083725484,0.7956989197311828,0.6721311425409836,0.7956989197311828,0.9663606882095335,0.8654175947811996
29,,Pour,Open-Container,0.3333333333333333,0.2541566789150238,0.000421949781568,0.0943396204894981,0.058394158633917705,0.0943396204894981,0.794459879398346,0.1344771994992092
30,,Slice,Open-Container,0.2857142857142857,0.3194121122360229,0.859126974786425,0.8064516079032258,0.6885245851639346,0.8064516079032258,0.9593061089515686,0.8639603633666454
31,,Wipe,Open-Container,0.3333333333333333,0.3229246437549591,0.316252991371151,0.5199999952880001,0.3756345130510964,0.5199999952880001,0.9050540328025818,0.45283453723611
32,,Close-Container,Pick-Up,0.25,0.5153879523277283,0.9861492080677762,0.9677419304838712,0.9426229458196722,0.9677419304838712,0.98732990026474,0.9873486612400797
33,,Halve,Pick-Up,0.2,0.1682203710079193,0.780483813274355,0.6298342491474619,0.4641350161014082,0.6298342491474619,0.9525914788246157,0.7761784089843657
34,,Hold,Pick-Up,0.3333333333333333,0.6284888386726379,0.37192670686315155,0.44322678384760666,0.31083802244069003,0.42937594670909823,0.9452942490577698,0.44577729286432116
35,,Open-Container,Pick-Up,0.3333333333333333,0.494068443775177,1.0,0.9999999949999999,0.9999999949999999,0.9999999949999999,0.9999998211860655,1.0
36,,Place-Down,Pick-Up,0.25,0.6661379933357239,0.8624897401161744,0.7956989197311828,0.6721311425409836,0.7956989197311828,0.9729331016540528,0.8616151306965577
37,,Pour,Pick-Up,0.25,0.1667963415384292,0.000421949781568,0.0943396204894981,0.058394158633917705,0.0943396204894981,0.794459879398346,0.1344771994992092
38,,Slice,Pick-Up,0.2222222222222222,0.44728294014930714,0.4554800636472149,0.4947967017839863,0.3396684869518616,0.4817757358218439,0.8913020014762878,0.548752912968882
39,,Wipe,Pick-Up,0.25,0.2969381213188171,0.9110509354685172,0.8064516079032258,0.6885245851639346,0.8064516079032258,0.9562915563583374,0.8687752613054821
40,,Close-Container,Place-Down,0.25,0.7576097846031189,0.1829465341741386,0.30362436316465746,0.1971631030625145,0.30362436316465746,0.8784309029579163,0.34650260932513466
41,,Halve,Place-Down,0.2,0.11310732364654538,0.5976553271727874,0.7528089839256407,0.700421936124909,0.7528089839256407,0.9472892880439758,0.6714405518650404
42,,Hold,Place-Down,0.3333333333333333,0.7480592727661133,0.2845511937876224,0.6114649637226663,0.568720374745401,0.6114649637226663,0.9350667595863342,0.4623536689251089
43,,Open-Container,Place-Down,0.3333333333333333,0.8066946268081665,0.02123599739306134,0.13384223624643093,0.055521008051722366,0.13384223624643093,0.8517746686935425,0.20283871296901573
44,,Pick-Up,Place-Down,0.25,0.6661379933357239,0.9196327531234436,0.895823803500452,0.8756950194839839,0.895823803500452,0.9667944431304931,0.9407874630943471
45,,Pour,Place-Down,0.25,0.2918168306350708,0.5693157022362818,0.4736941657221864,0.30251630676745034,0.4475218215388854,0.9329026699066162,0.6655788678887864
46,,Slice,Place-Down,0.2222222222222222,0.4426504373550415,0.9875308977601577,0.961904756904762,0.9436619668309859,0.961904756904762,0.9970830678939822,0.9905264086509028
47,,Wipe,Place-Down,0.25,0.3212550282478332,0.9646904477908709,0.9047618997619049,0.8450704175352113,0.8952380902380954,0.9902421832084656,0.9585821952016179
48,,Close-Container,Pour,0.25,0.2032543271780014,1.1293087751622998e-09,0.0952380936707483,0.0245398763671948,0.0952380936707483,0.8334658741950989,0.0474498631286215
49,,Halve,Pour,0.2,0.3157775104045868,0.9379000416372296,0.8272251258901895,0.7935483820967743,0.8272251258901895,0.9807723760604858,0.9467948919706768
50,,Hold,Pour,0.3333333333333333,0.3653004169464111,0.0017884696992263,0.3389830478138466,0.1340782099684779,0.3050847427291008,0.9038447737693789,0.1339545611435676
51,,Open-Container,Pour,0.3333333333333333,0.2541566789150238,0.6846956616286924,0.785906702390723,0.703642434515665,0.785906702390723,0.9634505271911621,0.7556075800948665
52,,Pick-Up,Pour,0.25,0.1667963415384292,0.6157737746199653,0.7841958468161,0.7201742870390166,0.7841958468161,0.9601968765258789,0.7087028370813971
53,,Place-Down,Pour,0.25,0.2918168306350708,0.46656025776966353,0.6415094291776434,0.4615384568637414,0.6289308128254422,0.9523100256919859,0.5998567865511141
54,,Slice,Pour,0.2222222222222222,0.5407348275184631,0.9379000416372296,0.8229166616666668,0.7935483820967743,0.8229166616666668,0.99008709192276,0.943693368416187
55,,Wipe,Pour,0.25,0.509205162525177,0.6886125797412063,0.777142852190041,0.6859205726882927,0.777142852190041,0.9516355991363523,0.7483299763790018
56,,Close-Container,Slice,0.2222222222222222,0.3808492720127105,0.012027208066673,0.4098360621271164,0.2643678135500066,0.4098360621271164,0.917663037776947,0.1911993830089983
57,,Halve,Slice,0.1818181818181818,0.3771482110023498,0.0039367223535458,0.3865546186286279,0.1954022963086273,0.3697478959395524,0.9107035994529724,0.156653993283582
58,,Hold,Slice,0.2857142857142857,0.3697307407855987,0.0001055432058341,0.29824561125731,0.1686746968616635,0.29824561125731,0.8909069299697876,0.1067455807893419
59,,Open-Container,Slice,0.2857142857142857,0.3194121122360229,0.0121028658031777,0.4098360621271164,0.2643678135500066,0.4098360621271164,0.9123824834823608,0.192622615986995
60,,Pick-Up,Slice,0.2222222222222222,0.44728294014930714,0.0001306158394851,0.29824561125731,0.1686746968616635,0.29824561125731,0.8945995569229126,0.10554938895632922
61,,Place-Down,Slice,0.2222222222222222,0.4426504373550415,0.000214121355776,0.2931034453106421,0.166666664569161,0.2931034453106421,0.8994517922401428,0.1111810303398442
62,,Pour,Slice,0.2222222222222222,0.5407348275184631,0.13942902095808898,0.25224769476831,0.15456885189085007,0.25224769476831,0.903158175945282,0.226841345745657
63,,Wipe,Slice,0.2222222222222222,0.5417711138725281,0.0010639770941268,0.2499999967013889,0.1162790673661439,0.2499999967013889,0.9013088345527647,0.11662227564561452
64,,Close-Container,Wipe,0.25,0.3031244874000549,0.8674493843800517,0.687499995,0.5473684160526316,0.687499995,0.9872065186500547,0.8627449533413278
65,,Halve,Wipe,0.2,0.5097622871398926,0.870641483914287,0.6929133808270816,0.5473684160526316,0.6929133808270816,0.9763416051864624,0.8615496528735257
66,,Hold,Wipe,0.3333333333333333,0.43972694873809803,0.870641483914287,0.687499995,0.5473684160526316,0.687499995,0.9765881299972534,0.8582225286079659
67,,Open-Container,Wipe,0.3333333333333333,0.3229246437549591,0.8674493843800517,0.687499995,0.5473684160526316,0.687499995,0.9798529744148254,0.8644845565032236
68,,Pick-Up,Wipe,0.25,0.2969381213188171,0.8674493843800517,0.687499995,0.5473684160526316,0.687499995,0.9801285862922668,0.8644625912448541
69,,Place-Down,Wipe,0.25,0.3212550282478332,0.7690133480688445,0.6165413483905253,0.4833866251296997,0.6165413483905253,0.952414047718048,0.8353559551067342
70,,Pour,Wipe,0.25,0.509205162525177,0.7613731471755457,0.647058818546713,0.5098039165921762,0.647058818546713,0.9481066465377808,0.8715203286699758
71,,Slice,Wipe,0.2222222222222222,0.5417711138725281,0.870641483914287,0.687499995,0.5473684160526316,0.687499995,0.9844112396240234,0.8716086926893386
