Generated,Reference,WuP,GloVe-Similarity,Sensorimotor Distance,BLEU,ROUGE-1,ROUGE-2,ROUGE-L,CodeBERTScore,chrF,LoC,Compilation
Halve,Close,0.2,0.026859529316425303,0.0855097373008226,0.8467838357500315,0.3124999951320313,0.1449275313916312,0.3124999951320313,0.95695960521698,0.8615104651815523,51.0,1.0
Hold,Close,0.3333333333333333,0.7839381098747253,0.143589044210939,0.44606187994777413,0.1363636322004133,0.0232558098296383,0.1363636322004133,0.9387577772140505,0.5505146462320772,30.0,1.0
Open,Close,0.3333333333333333,0.720828115940094,0.045264758045214,0.9848109429494574,0.3439490397565825,0.1791044728407714,0.3439490397565825,0.9796493053436282,0.9858229288280504,47.0,1.0
Pick-Up,Close,0.25,0.5153879523277283,0.0702866678284649,0.6574668080296946,0.2517482472003521,0.0869565172707941,0.2517482472003521,0.9479035139083862,0.6996926494222812,39.0,1.0
Place-Down,Close,0.25,0.7576097846031189,0.0519029166068075,0.8393042436211167,0.2745097991541715,0.1414141366840119,0.2745097991541715,0.9656847715377808,0.8107082678503608,47.0,1.0
Pour,Close,0.25,0.2032543271780014,0.0815941431836668,0.449563180360015,0.1904761854774503,0.0642570231144662,0.1904761854774503,0.9553952813148501,0.8453747729380942,80.0,1.0
Slice,Close,0.22222222222222224,0.3808492720127105,0.0887489492764253,0.7110728384724171,0.2976190426764456,0.1345291430264033,0.2976190426764456,0.9527912735939026,0.8532056451501013,58.0,1.0
Wipe,Close,0.25,0.3031244874000549,0.1558799708666,0.7693157741478137,0.227848096422849,0.0686274461726262,0.227848096422849,0.9553325176239014,0.7516127228387671,48.0,1.0
Close,Halve,0.2,0.026859529316425303,0.0855097373008226,0.6850478207176811,0.328042323233952,0.1940298460873804,0.328042323233952,0.9435098171234133,0.7452731237388543,47.0,1.0
Hold,Halve,0.25,0.1863423734903335,0.0978263036860699,0.4320444252581074,0.21118012003857883,0.069565213493762,0.21118012003857883,0.9313936829566956,0.5770115266941346,34.0,1.0
Open,Halve,0.25,0.1374186724424362,0.0827258509852445,0.8971968145282598,0.3299999950845,0.1944444395951486,0.3299999950845,0.9671056270599363,0.897721730210038,58.0,1.0
Pick-Up,Halve,0.2,0.1682203710079193,0.0710081231639225,0.4508046823459412,0.21118012003857883,0.069565213493762,0.21118012003857883,0.9313309788703918,0.5760059773944508,34.0,1.0
Place-Down,Halve,0.2,0.11310732364654538,0.114183228214588,0.7273742280325175,0.3263157846531856,0.1992619879255458,0.3263157846531856,0.9480138421058657,0.7786780137529273,48.0,1.0
Pour,Halve,0.2,0.3157775104045868,0.0776414292502186,0.7143973934295952,0.2788461488835984,0.1610738205934418,0.2788461488835984,0.936440110206604,0.8177708204159829,65.0,1.0
Slice,Halve,0.1818181818181818,0.3771482110023498,0.0934805650414641,0.9452416342464371,0.3762376188329576,0.2291666618173708,0.3762376188329576,0.9763741493225098,0.9551721151488932,59.0,1.0
Wipe,Halve,0.2,0.5097622871398926,0.11827822412400799,0.5933239015424806,0.2751322703238991,0.149812729435958,0.2751322703238991,0.9379985928535459,0.6368585636784849,48.0,1.0
Close,Hold,0.3333333333333333,0.7839381098747253,0.143589044210939,0.9380596712174455,0.3190183999909669,0.1525423680713158,0.3067484613406602,0.9744653701782229,0.9380681640215173,52.0,1.0
Halve,Hold,0.25,0.1863423734903335,0.0978263036860699,0.8402160209201803,0.2716049333638166,0.11864406298657011,0.2592592543514709,0.965904176235199,0.855813861332989,52.0,1.0
Open,Hold,0.5,0.739703357219696,0.103886621549432,0.9358484177521058,0.3086419704008536,0.1525423680713158,0.2962962913885079,0.9731003046035769,0.9373975364261773,52.0,1.0
Pick-Up,Hold,0.3333333333333333,0.6284888386726379,0.0669021654064496,0.9840625672308644,0.3580246864502363,0.194915249427248,0.3456790074378906,0.983360767364502,0.9888252086044439,52.0,1.0
Place-Down,Hold,0.3333333333333333,0.7480592727661133,0.23493731438943302,0.8701154610036701,0.3132530071069822,0.1410788333189857,0.3012048143358978,0.9610165953636167,0.9307185358206498,56.0,1.0
Pour,Hold,0.3333333333333333,0.3653004169464111,0.11875767443836001,0.7106084434822386,0.2573099365493657,0.1285140513127209,0.24561403011661706,0.9444928765296936,0.8494057027547113,60.0,1.0
Slice,Hold,0.2857142857142857,0.3697307407855987,0.0513302142817702,0.862096217320496,0.266666661732966,0.10878660604051069,0.2545454496117539,0.9710652232170103,0.9133022779427715,55.0,1.0
Wipe,Hold,0.3333333333333333,0.43972694873809803,0.0158176034997597,0.8347592473639042,0.2958579832050699,0.14693877062424,0.2840236636784427,0.9450064301490784,0.9227238822456062,58.0,1.0
Close,Open,0.3333333333333333,0.720828115940094,0.045264758045214,0.9757348728234806,0.3076923028772189,0.1499999952420001,0.3076923028772189,0.9838150143623352,0.9779580394759992,46.0,1.0
Halve,Open,0.25,0.1374186724424362,0.0827258509852445,0.7200046266578422,0.20732025673195,0.05978068357274076,0.20732025673195,0.9470420479774475,0.7285634977571178,42.4,1.0
Hold,Open,0.5,0.739703357219696,0.103886621549432,0.3915791958521201,0.0937499960266114,0.0119047579280058,0.0937499960266114,0.9427223205566406,0.5008459483010014,27.0,1.0
Pick-Up,Open,0.3333333333333333,0.494068443775177,0.0311757950604205,0.8761012473527934,0.2838709629419356,0.1306532615873338,0.2838709629419356,0.9827264547348022,0.8436108917743376,46.0,1.0
Place-Down,Open,0.3333333333333333,0.8066946268081665,0.123578364246354,0.8142873335771238,0.2533333286213334,0.12435232695535461,0.2533333286213334,0.9710569977760317,0.7887038309440116,44.0,1.0
Pour,Open,0.3333333333333333,0.2541566789150238,0.0784764079700592,0.6587939990195922,0.2840236636896467,0.1255605331609324,0.2840236636896467,0.9546127915382383,0.9208088036421767,60.0,1.0
Slice,Open,0.2857142857142857,0.3194121122360229,0.0770675081437801,0.825965363988326,0.2822085840566074,0.1238095189405897,0.2822085840566074,0.9786258935928343,0.8515687214604929,48.0,1.0
Wipe,Open,0.3333333333333333,0.3229246437549591,0.139307387341262,0.8161104256736049,0.22929935822792008,0.0886699459428768,0.22929935822792008,0.9598914384841921,0.8182715886168017,48.0,1.0
Close,Pick-Up,0.25,0.5153879523277283,0.0702866678284649,0.8514701530158305,0.1694915207469119,0.062893077161505,0.1694915207469119,0.9336374998092654,0.8762939752534586,35.0,1.0
Halve,Pick-Up,0.2,0.1682203710079193,0.0710081231639225,0.7826956613387508,0.1525423682045391,0.0506329068162157,0.1525423682045391,0.954246461391449,0.8222165410924477,35.0,1.0
Hold,Pick-Up,0.3333333333333333,0.6284888386726379,0.0669021654064496,0.7308692971826362,0.1578947322868576,0.05194804747512259,0.1578947322868576,0.9216594696044922,0.770814799046697,31.0,1.0
Open,Pick-Up,0.3333333333333333,0.494068443775177,0.0311757950604205,0.9026336243898327,0.2033898258316576,0.0754716935137062,0.2033898258316576,0.9383255243301392,0.918925935281608,35.0,1.0
Place-Down,Pick-Up,0.25,0.6661379933357239,0.169426303267544,0.8258783546988866,0.1724137884839478,0.0512820467554244,0.1724137884839478,0.95967036485672,0.8601989038673054,33.0,1.0
Pour,Pick-Up,0.25,0.1667963415384292,0.0699600588276674,0.613891297049213,0.1322314002076362,0.0365853611511011,0.1322314002076362,0.9275830388069151,0.7200162329466567,36.0,1.0
Slice,Pick-Up,0.22222222222222224,0.44728294014930714,0.0743805998594153,0.8759641786395456,0.1680672221876987,0.062111796598897,0.1680672221876987,0.9663096070289612,0.8979738856618399,37.0,1.0
Wipe,Pick-Up,0.25,0.2969381213188171,0.0946885101065148,0.6413046018382966,0.1355932156621662,0.0499999953781254,0.1355932156621662,0.9261459708213806,0.666564676494294,39.0,1.0
Close,Place-Down,0.25,0.7576097846031189,0.0519029166068075,0.7083384546563779,0.1898734132630989,0.0765550195673178,0.1898734132630989,0.9555560946464541,0.7342924210585723,39.0,1.0
Halve,Place-Down,0.2,0.11310732364654538,0.114183228214588,0.9425839637418839,0.3687150789488468,0.21459226991766292,0.3687150789488468,0.9796616435050964,0.9601103339329573,46.0,1.0
Hold,Place-Down,0.3333333333333333,0.7480592727661133,0.23493731438943302,0.2955216924150038,0.1333333298765433,0.0224719068854947,0.1185185150617285,0.8977468609809875,0.4727622786724364,20.0,1.0
Open,Place-Down,0.3333333333333333,0.8066946268081665,0.123578364246354,0.7050748884896791,0.1898734132630989,0.0765550195673178,0.1898734132630989,0.9524575471878052,0.7370711020366284,39.0,1.0
Pick-Up,Place-Down,0.25,0.6661379933357239,0.169426303267544,0.9297695964793802,0.3666666618055556,0.20425531436631966,0.3666666618055556,0.9417353272438047,0.9487507523679003,45.0,1.0
Pour,Place-Down,0.25,0.2918168306350708,0.11328961037275101,0.5072962761935873,0.3076923027218935,0.1627906927251969,0.3076923027218935,0.9382333755493164,0.7572669449684595,60.0,1.0
Slice,Place-Down,0.22222222222222224,0.4426504373550415,0.135771583124557,0.9425839637418839,0.3687150789488468,0.21459226991766292,0.3687150789488468,0.9792038798332214,0.9601513433161845,46.0,1.0
Wipe,Place-Down,0.25,0.3212550282478332,0.220155971966159,0.8664458256741507,0.346368710233763,0.1802575059691651,0.3351955258762212,0.9494327902793884,0.8590407692726728,46.0,1.0
Close,Pour,0.25,0.2032543271780014,0.0815941431836668,0.9349211298216664,0.2690058430286242,0.1230769182618345,0.2690058430286242,0.9737645983695984,0.937425180004414,56.0,1.0
Halve,Pour,0.2,0.3157775104045868,0.0776414292502186,0.9242405138576173,0.2643678111454618,0.12213739974797519,0.2643678111454618,0.9700171947479248,0.9420764763258337,57.0,1.0
Hold,Pour,0.3333333333333333,0.3653004169464111,0.11875767443836001,0.8538269422212178,0.263473049004267,0.11952190762686318,0.263473049004267,0.9437211751937866,0.8636110546925666,52.0,1.0
Open,Pour,0.3333333333333333,0.2541566789150238,0.0784764079700592,0.9305497786569383,0.2674418555327205,0.1230769182618345,0.2674418555327205,0.9722285866737366,0.94037320646905,56.0,1.0
Pick-Up,Pour,0.25,0.1667963415384292,0.0699600588276674,0.9270131974056619,0.2674418555327205,0.1230769182618345,0.2674418555327205,0.9728104472160342,0.946904316176758,56.0,1.0
Place-Down,Pour,0.25,0.2918168306350708,0.11328961037275101,0.9357022638916753,0.2674418555327205,0.1230769182618345,0.2674418555327205,0.9761596918106081,0.9447172987932836,56.0,1.0
Slice,Pour,0.22222222222222224,0.5407348275184631,0.0772310812987127,0.923968426985972,0.2628571379043266,0.1216729989619629,0.2628571379043266,0.9774206876754759,0.9391020887022897,57.0,1.0
Wipe,Pour,0.25,0.509205162525177,0.0970422225532095,0.9293497315259645,0.2658959488175348,0.12260535916090501,0.2658959488175348,0.974837064743042,0.9405406466706069,57.0,1.0
Close,Slice,0.22222222222222224,0.3808492720127105,0.0887489492764253,0.6929576389907197,0.23076922600673902,0.0964912235149278,0.23076922600673902,0.9483478665351868,0.7490078397032018,44.0,1.0
Halve,Slice,0.1818181818181818,0.3771482110023498,0.0934805650414641,0.7826974126616709,0.2208588908427115,0.0912863023143543,0.2208588908427115,0.9526236057281494,0.8112999432788811,50.0,1.0
Hold,Slice,0.2857142857142857,0.3697307407855987,0.0513302142817702,0.4817136672659822,0.23776223330236199,0.0765550197898402,0.23776223330236199,0.9358100295066831,0.6133050909040717,34.0,1.0
Open,Slice,0.2857142857142857,0.3194121122360229,0.0770675081437801,0.8237915514117453,0.23170731219884014,0.0916666619388891,0.23170731219884014,0.9452335834503174,0.8338097760049459,52.0,1.0
Pick-Up,Slice,0.22222222222222224,0.44728294014930714,0.0743805998594153,0.761290439294977,0.2278480964709182,0.0865800819759752,0.2278480964709182,0.944086492061615,0.7756503043102807,46.0,1.0
Place-Down,Slice,0.22222222222222224,0.4426504373550415,0.135771583124557,0.7808254944799803,0.21951219024762061,0.0912863023143543,0.21951219024762061,0.9473133087158205,0.802576476702107,52.0,1.0
Pour,Slice,0.22222222222222224,0.5407348275184631,0.0772310812987127,0.7388904010290548,0.1916167615619062,0.0813008082146873,0.1916167615619062,0.9359381794929504,0.7556025415051243,54.0,1.0
Wipe,Slice,0.22222222222222224,0.5417711138725281,0.0503783542992758,0.8629687999728203,0.23529411271626302,0.0967741887356922,0.23529411271626302,0.9729293584823608,0.8757184696731135,56.0,1.0
Close,Wipe,0.25,0.3031244874000549,0.1558799708666,0.8515964792176913,0.2931034433293699,0.1499999951757814,0.2931034433293699,0.965112566947937,0.8489626127632889,35.0,1.0
Halve,Wipe,0.2,0.5097622871398926,0.11827822412400799,0.8408137764846938,0.2881355882562482,0.1481481432975157,0.2881355882562482,0.9629596471786501,0.8355326064937101,36.0,1.0
Hold,Wipe,0.3333333333333333,0.43972694873809803,0.0158176034997597,0.5561825999824459,0.22018348139045543,0.0921052584703949,0.22018348139045543,0.9221681952476499,0.5996925204480122,27.0,1.0
Open,Wipe,0.3333333333333333,0.3229246437549591,0.139307387341262,0.7933161976827143,0.2881355882562482,0.1472392589408711,0.2881355882562482,0.9596746563911438,0.8267884291707699,37.0,1.0
Pick-Up,Wipe,0.25,0.2969381213188171,0.0946885101065148,0.7967377478279452,0.2782608646291116,0.1383647750642776,0.2782608646291116,0.9596643447875974,0.8170249421098428,35.0,1.0
Place-Down,Wipe,0.25,0.3212550282478332,0.220155971966159,0.69430871033519,0.23636363149752074,0.0540540494567206,0.23636363149752074,0.9315622448921204,0.7240518159591883,31.0,1.0
Pour,Wipe,0.25,0.509205162525177,0.0970422225532095,0.658172726296913,0.2644628049340892,0.1309523760381238,0.2644628049340892,0.9261547923088074,0.8104077143568498,40.0,1.0
Slice,Wipe,0.22222222222222224,0.5417711138725281,0.0503783542992758,0.6060135986300373,0.222222217223482,0.0701754336582199,0.2063492013504662,0.9445726871490481,0.8176286352944929,47.0,1.0
