,Generated,Reference,WuP,GloVe-Similarity,BLEU,ROUGE-1,ROUGE-2,ROUGE-L,CodeBERTScore,chrF
0,Halve,Close-Container,0.2,0.026859529316425323,0.8594955539454142,0.8064516079032258,0.6885245851639346,0.8064516079032258,0.9538000822067261,0.8642741108240543
1,Hold,Close-Container,0.3333333333333333,0.7839381098747253,0.08223516267430633,0.346456688992498,0.20359281043422142,0.330708657496435,0.901127815246582,0.2851217647782515
2,Open-Container,Close-Container,0.3333333333333333,0.720828115940094,0.6734221254403355,0.8023952046455591,0.7557603637410011,0.8023952046455591,0.9521246552467346,0.7796003022130326
3,Pick-Up,Close-Container,0.25,0.5153879523277283,0.7379874920076877,0.7065868214120263,0.5844748809099061,0.7065868214120263,0.9522169232368469,0.72778990026107
4,Place-Down,Close-Container,0.25,0.7576097846031189,0.370364484993536,0.40268455906670875,0.23589743121314927,0.37583892148281617,0.9380359649658203,0.47504174516447933
5,Pour,Close-Container,0.25,0.2032543271780014,0.7493541191724107,0.7999999950106509,0.6415094289936634,0.7794871744978304,0.9581091403961182,0.9389513726369932
6,Slice,Close-Container,0.2222222222222222,0.38084927201271057,0.903967223202745,0.7999999950001462,0.6721311425409836,0.7999999950001462,0.9561603665351868,0.8589986871350243
7,Wipe,Close-Container,0.25,0.30312448740005493,0.8945557843831692,0.8064516079032258,0.6747967429678101,0.8064516079032258,0.9738253951072693,0.8553895856562844
8,Close-Container,Halve,0.2,0.026859529316425323,0.8667145520426548,0.7363636313673555,0.6909090859120294,0.7363636313673555,0.9567964673042297,0.8652865460707942
9,Hold,Halve,0.25,0.18634237349033356,0.36516611577271324,0.625698319367061,0.5639097698024197,0.625698319367061,0.9410263299942017,0.5258906553902528
10,Open-Container,Halve,0.25,0.13741867244243622,0.8667145520426548,0.7363636313673555,0.6909090859120294,0.7363636313673555,0.9557874798774719,0.8616260026356696
11,Pick-Up,Halve,0.2,0.1682203710079193,0.47024871777039706,0.670270265515851,0.6304347778610061,0.670270265515851,0.9440234303474426,0.6002709387900829
12,Place-Down,Halve,0.2,0.11310732364654541,0.7323716803486724,0.6116504804840229,0.5632911342647413,0.6116504804840229,0.9490187764167786,0.759628925104812
13,Pour,Halve,0.2,0.3157775104045868,0.7190216205661604,0.534482753624034,0.4249291734792832,0.534482753624034,0.9407174587249756,0.7898564595816214
14,Slice,Halve,0.18181818181818182,0.37714821100234985,0.9606695686516564,0.9107142807146844,0.8757396399704143,0.9107142807146844,0.9880003333091736,0.9542495810992068
15,Wipe,Halve,0.2,0.5097622871398926,0.7819366543858782,0.5769230719605215,0.5236593010156337,0.5769230719605215,0.9473660588264465,0.7772891154310537
16,Close-Container,Hold,0.3333333333333333,0.7839381098747253,0.35082137009957093,0.5594405548515821,0.3738317712057822,0.5594405548515821,0.9441676139831543,0.546439725687342
17,Halve,Hold,0.25,0.18634237349033356,0.8025846824073833,0.6892655317309841,0.5799256455692985,0.6553672266462385,0.949364423751831,0.8009742208108886
18,Open-Container,Hold,0.5,0.739703357219696,0.3619878457097412,0.569444439830247,0.4299065375609224,0.569444439830247,0.9433310031890869,0.5482579692157244
19,Pick-Up,Hold,0.3333333333333333,0.6284888386726379,0.9808005446465402,0.9670329620335709,0.9499999950002551,0.9670329620335709,0.9891449809074402,0.9852361228858594
20,Place-Down,Hold,0.3333333333333333,0.7480592727661133,0.5265318001086965,0.5644171729971019,0.3821138162452905,0.5030674797455682,0.9411683678627014,0.6242808057463506
21,Pour,Hold,0.3333333333333333,0.36530041694641113,0.7005837723649346,0.47252746752807634,0.36363635863734173,0.43956043456104343,0.9427419900894165,0.7494930833740564
22,Slice,Hold,0.2857142857142857,0.36973074078559875,0.8199363297329628,0.747126431798124,0.6616541303564363,0.7126436731774343,0.9522936344146729,0.8272869998136906
23,Wipe,Hold,0.3333333333333333,0.43972694873809814,0.7721040221935416,0.8041237063534914,0.7320261388216072,0.8041237063534914,0.9611913561820984,0.9194523270604463
24,Close-Container,Open-Container,0.3333333333333333,0.720828115940094,0.9757348728234806,0.9354838659677419,0.8934426179508197,0.9354838659677419,0.9838960766792297,0.9778603906884076
25,Halve,Open-Container,0.25,0.13741867244243622,0.8725877163116853,0.8021977972002173,0.6721991651252562,0.7912087862112064,0.9527330994606018,0.8346476267314132
26,Hold,Open-Container,0.5,0.739703357219696,0.015171488187131604,0.30508474242315425,0.19999999696355558,0.30508474242315425,0.9009445309638977,0.1972973620806554
27,Pick-Up,Open-Container,0.3333333333333333,0.494068443775177,0.6416690595475412,0.7169811272196511,0.612440186527781,0.7169811272196511,0.9487044215202332,0.6555200722130424
28,Place-Down,Open-Container,0.3333333333333333,0.8066946268081665,0.44303726978877306,0.49350648872238156,0.31999999524200007,0.4675324627483555,0.9442758560180664,0.5380243296045977
29,Pour,Open-Container,0.3333333333333333,0.2541566789150238,0.7828635594533515,0.8124999950048829,0.6692307642497042,0.8124999950048829,0.9570434093475342,0.9454225659011541
30,Slice,Open-Container,0.2857142857142857,0.31941211223602295,0.8806756959211234,0.7765957396814169,0.6532258014529136,0.7659574418090767,0.9531943798065186,0.8441880978344655
31,Wipe,Open-Container,0.3333333333333333,0.3229246437549591,0.8160315197410772,0.7853403091395522,0.643410847727901,0.7853403091395522,0.9580093026161194,0.8571081350721199
32,Close-Container,Pick-Up,0.25,0.5153879523277283,0.9757348728234806,0.9354838659677419,0.8934426179508197,0.9354838659677419,0.9934811592102051,0.9778603906884076
33,Halve,Pick-Up,0.2,0.1682203710079193,0.8725877163116853,0.8021977972002173,0.6721991651252562,0.7912087862112064,0.9527454972267151,0.8378779396786076
34,Hold,Pick-Up,0.3333333333333333,0.6284888386726379,0.08147159248600802,0.32258064141129034,0.22360248080089506,0.32258064141129034,0.930713951587677,0.27229118923984075
35,Open-Container,Pick-Up,0.3333333333333333,0.494068443775177,0.699794660595763,0.8622754441665172,0.8387096724967615,0.8622754441665172,0.9600728750228882,0.8046558287972824
36,Place-Down,Pick-Up,0.25,0.6661379933357239,0.34223727500225964,0.4657534200328392,0.2962962917197167,0.4657534200328392,0.9428500533103943,0.45944237548212863
37,Pour,Pick-Up,0.25,0.16679634153842926,0.5392501957003576,0.45833332833821616,0.3100775143945677,0.45833332833821616,0.9423205256462097,0.7775976767815563
38,Slice,Pick-Up,0.2222222222222222,0.44728294014930725,0.6227018501419262,0.6746987902533025,0.49999999508401927,0.6626505974822181,0.9606481790542603,0.6581083352785023
39,Wipe,Pick-Up,0.25,0.29693812131881714,0.28452761823026573,0.36734693412744696,0.20725388135949965,0.36734693412744696,0.9024578332901001,0.4069428641058613
40,Close-Container,Place-Down,0.25,0.7576097846031189,0.005628339847712743,0.1746031718253969,0.08333333071712026,0.1746031718253969,0.8322017788887024,0.15987357024706964
41,Halve,Place-Down,0.2,0.11310732364654541,0.5975547938510147,0.6292134783076633,0.5573770443147004,0.6292134783076633,0.9389139413833618,0.6863440052486053
42,Hold,Place-Down,0.3333333333333333,0.7480592727661133,0.009360166753585523,0.30158729880952384,0.23809523547902497,0.30158729880952384,0.8804634213447571,0.18516419005209117
43,Open-Container,Place-Down,0.3333333333333333,0.8066946268081665,0.03393370971351281,0.19402984735464474,0.07821228722324534,0.16417910108598804,0.8520353436470032,0.2270693592685723
44,Pick-Up,Place-Down,0.25,0.6661379933357239,0.15171971056734398,0.3687943224385092,0.19251336532929172,0.3687943224385092,0.9265211820602417,0.3532464549128524
45,Pour,Place-Down,0.25,0.2918168306350708,0.06152944570920616,0.21428571053571432,0.08465608091934733,0.1857142819642858,0.8738816976547241,0.2279615641443267
46,Slice,Place-Down,0.2222222222222222,0.4426504373550415,0.05568210169428802,0.2835820861606148,0.2087912053616713,0.2835820861606148,0.8786216974258423,0.26793524147842684
47,Wipe,Place-Down,0.25,0.32125502824783325,0.17999806220847658,0.18918918506665458,0.07881772978621197,0.1756756715531411,0.8806284070014954,0.3795563042640777
48,Close-Container,Pour,0.25,0.2032543271780014,0.7624902316232277,0.8176795530295169,0.7272727223079369,0.7624309342449865,0.9515928626060486,0.8058263752877924
49,Halve,Pour,0.2,0.3157775104045868,0.8923827177830572,0.808510633300136,0.7483443658644358,0.7553191439384337,0.9522031545639038,0.8974001132926853
50,Hold,Pour,0.3333333333333333,0.36530041694641113,0.596381207109085,0.7337278057434964,0.6217228415716312,0.7337278057434964,0.9502822756767273,0.6705945325555828
51,Open-Container,Pour,0.3333333333333333,0.2541566789150238,0.7624902316232277,0.8176795530295169,0.7412587362939509,0.8176795530295169,0.9566404223442078,0.8059378098337632
52,Pick-Up,Pour,0.25,0.16679634153842926,0.6319687091695928,0.777142852190041,0.727272722353719,0.777142852190041,0.9594858288764954,0.7194695242330503
53,Place-Down,Pour,0.25,0.2918168306350708,0.7137709499977819,0.7032966983117982,0.547368416091105,0.6923076873227871,0.951886773109436,0.7658700647664256
54,Slice,Pour,0.2222222222222222,0.5407348275184631,0.8923827177830572,0.808510633300136,0.7615893989770186,0.808510633300136,0.9566998481750488,0.8989861942831915
55,Wipe,Pour,0.25,0.509205162525177,0.8923827177830572,0.8042327992340641,0.7615893989770186,0.8042327992340641,0.9573060870170593,0.8956282016082379
56,Close-Container,Slice,0.2222222222222222,0.38084927201271057,0.5709960406298045,0.7134502874593893,0.64638782777834,0.7134502874593893,0.9462175965309143,0.6672975292999666
57,Halve,Slice,0.18181818181818182,0.37714821100234985,0.9971550403323199,0.9894736792105263,0.9864864814864867,0.9894736792105263,0.9974266886711121,0.9972427475162525
58,Hold,Slice,0.2857142857142857,0.36973074078559875,0.2822185957607197,0.6447368374177632,0.5502183360393585,0.6447368374177632,0.9369483590126038,0.47470304350695397
59,Open-Container,Slice,0.2857142857142857,0.31941211223602295,0.7124128489788597,0.71910111861823,0.6859205726408529,0.71910111861823,0.9615573883056641,0.7609278715901212
60,Pick-Up,Slice,0.2222222222222222,0.44728294014930725,0.4677913442084998,0.7484662528059016,0.69599999516928,0.7484662528059016,0.9439899921417236,0.6101140994059281
61,Place-Down,Slice,0.2222222222222222,0.4426504373550415,0.3426020595614087,0.6363636316368697,0.4999999953804995,0.6233766186498567,0.9395729899406433,0.5280366642585939
62,Pour,Slice,0.2222222222222222,0.5407348275184631,0.7079510527671562,0.5051546341773834,0.39344261795517343,0.5051546341773834,0.9424836039543152,0.7231661903323013
63,Wipe,Slice,0.2222222222222222,0.5417711138725281,0.5967786850725093,0.6783625681611437,0.625954193557485,0.6783625681611437,0.9484848380088806,0.666227478337655
64,Close-Container,Wipe,0.25,0.30312448740005493,0.8674493843800518,0.687499995,0.5473684160526316,0.687499995,0.9872065186500549,0.8627449533413278
65,Halve,Wipe,0.2,0.5097622871398926,0.870641483914287,0.687499995,0.5473684160526316,0.687499995,0.9778506755828857,0.8619412823802652
66,Hold,Wipe,0.3333333333333333,0.43972694873809814,5.183561478473537e-05,0.15584415303761176,0.03738317557865326,0.10389610108955986,0.8478652238845825,0.07279436998110862
67,Open-Container,Wipe,0.3333333333333333,0.3229246437549591,0.8238633626353469,0.6984126934139583,0.5573770441876439,0.6984126934139583,0.9553989171981812,0.8087353213932044
68,Pick-Up,Wipe,0.25,0.29693812131881714,0.8010297708324693,0.650406499073303,0.5111111061265433,0.650406499073303,0.9496504068374634,0.8019402365961777
69,Place-Down,Wipe,0.25,0.32125502824783325,0.12187606271963763,0.34408601721355075,0.21052631170784109,0.34408601721355075,0.9114351272583008,0.3438167873729354
70,Pour,Wipe,0.25,0.509205162525177,0.7609644576688045,0.647058818546713,0.5123152659564659,0.647058818546713,0.9482245445251465,0.8670973544497276
71,Slice,Wipe,0.2222222222222222,0.5417711138725281,0.0002944609720484223,0.10389610108955986,0.03738317557865326,0.10389610108955986,0.8526862859725952,0.08934055373666733
